block	translation	word_freq	block_freq	overall_freq
다	many, tea, father	1	4774	4775
하	under a situation	1	2255	2256
이	mud, Buddhist nun, overgrown	1	1763	1764
리	town, rule, benefit	1	1529	1530
기	self, to record, therein; his; her	1	1351	1352
사	four, scholar; gentleman; soldier, serve; official	1	1253	1254
지	kimchi	1	1128	1129
자	ruler, rule, straightedge	1	1056	1057
아	I; me, we; us; our	1	941	942
가	temple, beautiful, lie	1	887	888
수	water, hand, accept	1	842	843
어	word, fish, control	1	819	820
시	poem, poetry	1	744	745
대	big, respond, replace	1	736	737
고	high, examine, report	1	699	700
나	net, disrobe, naked, lazy	1	648	649
비	comparison, not;un-, in-, non-, sad	1	642	643
인	cause, reason, factor	1	635	636
도	sword; knife; dao, arrival, island	1	632	633
구	small hill, to be long, nine	1	614	615
무	not being, absent, variant of, firm	1	613	614
라	net, disrobe, naked, lazy	1	590	591
장	notebook	1	567	568
주	alcohol; alcoholic beverage	1	563	564
부	wealth	1	560	561
마	hemp; sesame, grind; millstone, rub; chafe	1	552	553
전	biography	1	545	546
소	place, disappear; extinguish, plain; white	1	535	536
정	really, very, desperately	1	520	521
화	fire, flower, China	1	518	519
오	Wu kingdom, five, dirty	1	500	501
미	rice, not, flavor	1	486	487
로	furnace	1	480	481
성	star	1	470	471
치	value	1	469	470
조	Jo or Cho	1	457	458
동	copper	1	456	457
상	top; first; best, eternal; frequent, prize	1	439	440
우	residence, rain, meet	1	411	412
개	reform; fix, open, approximately	1	409	410
제	system; rule	1	401	402
공	fair; official, common; together, opening, hole	1	401	402
서	west, document, slow	1	397	398
보	protection; guarantee, step, universal; general	1	383	384
일	one, day, loss	1	379	380
물	aquatic	1	373	374
신	body, to extend, spirit; god	1	367	368
국	chrysanthemum, bureau; department	1	364	365
바	fa; F	1	362	363
니	mud, Buddhist nun, overgrown	1	362	363
방	room	1	360	361
적	target, hitting	1	353	354
선	first, gland, gland	1	353	354
원	one	1	351	352
의	meaning, clothes, clothing, medicine; doctor	1	349	350
모	a grave, tomb	1	329	330
연	kite, to accuse	1	309	310
그	he, she	1	306	307
음	sound, tune	1	305	306
해	harm, sea; ocean, crab	1	299	300
포	four	1	296	297
타	placename	1	295	296
산	calculation	1	283	284
경	passing, a happy event, national capital	1	280	281
거	vehicle, going, living	1	278	279
계	tenth heavenly stem, end, final; season, boundary	1	278	279
세	world; lineage, wash, tax	1	277	278
파	shatter, crumble	1	276	277
호	house; hole, tiger, lake	1	269	270
문	door, phylum	1	266	267
식	eclipse, erosion, corrosion, knowing, knowledge, breath	1	264	265
단	only	1	263	264
양	soil; earth	1	258	259
요	urine, pretty, mock	1	254	255
불	genitalia, testicle	1	253	254
중	center, heaviness, group	1	249	250
차	difference; gap	1	246	247
한	limit; end; bound	1	245	246
명	name; famous, life, bright	1	244	245
반	anti-; opposite, anti-; against, opposing	1	237	238
두	head	1	235	236
노	slave, servant, anger; fury, work	1	235	236
발	originating from...	1	231	232
체	body; group, change; replacement	1	230	231
관	building	1	230	231
교	intersect, school; educational establishment, bridge	1	229	230
생	life	1	226	227
카	car	1	226	227
피	kinship, consanguinity, health point	1	225	226
여	woman	1	224	225
실	loss, room, reality; truth	1	223	224
위	rank, place	1	222	223
래	come, goosefoot, tall horse	1	222	223
안	face, eye, bank	1	221	222
금	gold; money, this; at present, prohibition	1	221	222
루	rampart, military wall, baseball base	1	219	220
과	fruit; result, last; past, boast, brag	1	216	217
새	east	1	214	215
감	reduction, dare, supervision; overseering	1	212	213
만	bay, gulf	1	207	208
민	agonize, worry, pity	1	207	208
진	progression, pressing, true	1	204	205
매	always; every, buy, to sell	1	202	203
내	inside; within, but; how, endure; resist; patient	1	202	203
초	candle	1	202	203
